
,,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,,,,
317,Darren Helm\helmda01,28-299,C,2015-11-16,DET,@,OTT,W,0,0,0,-1,0,0,0,0,0,,24,15:45
318,Mike Green\greenmi03,30-035,D,2015-11-16,DET,@,OTT,W,0,2,2,1,0,0,0,0,3,0.0,29,22:26
319,Luke Glendening\glendlu01,26-202,C,2015-11-16,DET,@,OTT,W,0,1,1,-1,2,0,0,0,1,0.0,24,15:09
320,Jonathan Ericsson\ericsjo01,31-259,D,2015-11-16,DET,@,OTT,W,0,0,0,1,0,0,0,0,1,0.0,32,19:55
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
321,Danny DeKeyser\dekeyda01,25-254,D,2015-11-16,DET,@,OTT,W,0,1,1,1,0,0,0,0,2,0.0,31,19:54
322,Pavel Datsyuk\datsypa01,37-119,C,2015-11-16,DET,@,OTT,W,0,0,0,1,0,0,0,0,2,0.0,23,19:08
323,Andreas Athanasiou\athanan01,21-102,C,2015-11-16,DET,@,OTT,W,0,0,0,0,0,0,0,0,2,0.0,13,8:49
324,Justin Abdelkader\abdelju01,28-264,LW,2015-11-16,DET,@,OTT,W,0,1,1,1,0,0,0,0,1,0.0,25,17:45
325,Henrik Zetterberg\zettehe01,35-040,LW,2015-11-18,DET,,WSH,L-OT,0,0,0,-1,0,0,0,0,3,0.0,23,19:18
326,Tomas Tatar\tatarto01,24-013,C,2015-11-18,DET,,WSH,L-OT,0,0,0,1,2,0,0,0,1,0.0,19,14:56
327,Riley Sheahan\sheahri01,23-019,C,2015-11-18,DET,,WSH,L-OT,0,0,0,0,0,0,0,0,1,0.0,23,15:11
328,Teemu Pulkkinen\pulkkte01,23-320,RW,2015-11-18,DET,,WSH,L-OT,0,0,0,0,0,0,0,0,2,0.0,15,8:59
329,Gustav Nyquist\nyquigu01,26-078,RW,2015-11-18,DET,,WSH,L-OT,0,0,0,0,0,0,0,0,0,,16,12:33
330,Drew Miller\milledr01,31-274,LW,2015-11-18,DET,,WSH,L-OT,0,0,0,0,0,0,0,0,0,,18,13:22
331,Alexey Marchenko\marchal01,23-320,D,2015-11-18,DET,,WSH,L-OT,0,0,0,0,0,0,0,0,0,,29,19:07
332,Dylan Larkin\larkidy01,19-111,C,2015-11-18,DET,,WSH,L-OT,1,0,1,1,2,1,0,0,3,33.3,21,15:44
333,Niklas Kronwall\kronwni01,34-310,D,2015-11-18,DET,,WSH,L-OT,0,0,0,-1,0,0,0,0,0,,27,22:17
334,Jakub Kindl\kindlja01,28-281,D,2015-11-18,DET,,WSH,L-OT,0,0,0,0,0,0,0,0,1,0.0,25,17:18
335,Darren Helm\helmda01,28-301,C,2015-11-18,DET,,WSH,L-OT,0,0,0,0,0,0,0,0,3,0.0,24,15:45
336,Mike Green\greenmi03,30-037,D,2015-11-18,DET,,WSH,L-OT,0,0,0,0,0,0,0,0,2,0.0,23,19:47
337,Luke Glendening\glendlu01,26-204,C,2015-11-18,DET,,WSH,L-OT,0,0,0,0,2,0,0,0,1,0.0,24,15:27
338,Jonathan Ericsson\ericsjo01,31-261,D,2015-11-18,DET,,WSH,L-OT,0,0,0,1,0,0,0,0,1,0.0,26,20:52
339,Danny DeKeyser\dekeyda01,25-256,D,2015-11-18,DET,,WSH,L-OT,0,0,0,1,4,0,0,0,0,,28,20:22
340,Pavel Datsyuk\datsypa01,37-121,C,2015-11-18,DET,,WSH,L-OT,0,1,1,0,0,0,0,0,4,0.0,22,17:45
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
341,Andreas Athanasiou\athanan01,21-104,C,2015-11-18,DET,,WSH,L-OT,0,0,0,0,0,0,0,0,1,0.0,8,5:50
342,Justin Abdelkader\abdelju01,28-266,LW,2015-11-18,DET,,WSH,L-OT,0,0,0,0,0,0,0,0,3,0.0,20,16:08
343,Henrik Zetterberg\zettehe01,35-042,LW,2015-11-20,DET,,LAK,W,0,2,2,1,0,0,0,0,1,0.0,25,17:48
344,Tomas Tatar\tatarto01,24-011,C,2015-11-20,DET,,LAK,W,1,0,1,0,0,0,1,0,3,33.3,17,13:06
345,Brendan Smith\smithbr05,26-285,D,2015-11-20,DET,,LAK,W,0,0,0,0,0,0,0,0,0,,22,15:35
346,Riley Sheahan\sheahri01,23-017,C,2015-11-20,DET,,LAK,W,0,0,0,0,0,0,0,0,0,,19,13:40
347,Brad Richards\richabr01,35-202,C,2015-11-20,DET,,LAK,W,0,0,0,-1,0,0,0,0,4,0.0,20,14:50
348,Teemu Pulkkinen\pulkkte01,23-322,RW,2015-11-20,DET,,LAK,W,0,0,0,-1,0,0,0,0,1,0.0,21,15:14
349,Gustav Nyquist\nyquigu01,26-080,RW,2015-11-20,DET,,LAK,W,0,0,0,1,0,0,0,0,5,0.0,19,14:23
350,Drew Miller\milledr01,31-276,LW,2015-11-20,DET,,LAK,W,0,0,0,0,0,0,0,0,2,0.0,16,13:15
351,Alexey Marchenko\marchal01,23-322,D,2015-11-20,DET,,LAK,W,0,0,0,0,2,0,0,0,0,,23,16:30
352,Dylan Larkin\larkidy01,19-113,C,2015-11-20,DET,,LAK,W,1,0,1,0,0,1,0,0,4,25.0,23,13:35
353,Niklas Kronwall\kronwni01,34-312,D,2015-11-20,DET,,LAK,W,0,0,0,-1,0,0,0,0,0,,30,24:06
354,Darren Helm\helmda01,28-303,C,2015-11-20,DET,,LAK,W,0,0,0,0,0,0,0,0,1,0.0,17,11:43
355,Mike Green\greenmi03,30-039,D,2015-11-20,DET,,LAK,W,1,0,1,2,0,1,0,0,2,50.0,25,17:50
356,Luke Glendening\glendlu01,26-206,C,2015-11-20,DET,,LAK,W,0,0,0,0,2,0,0,0,1,0.0,21,13:22
357,Jonathan Ericsson\ericsjo01,31-263,D,2015-11-20,DET,,LAK,W,0,0,0,0,0,0,0,0,0,,28,19:47
358,Danny DeKeyser\dekeyda01,25-258,D,2015-11-20,DET,,LAK,W,0,0,0,0,0,0,0,0,1,0.0,29,21:02
359,Pavel Datsyuk\datsypa01,37-123,C,2015-11-20,DET,,LAK,W,0,0,0,-1,0,0,0,0,2,0.0,22,18:42
360,Justin Abdelkader\abdelju01,28-268,LW,2015-11-20,DET,,LAK,W,0,2,2,1,4,0,0,0,2,0.0,25,17:32
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
361,Henrik Zetterberg\zettehe01,35-043,LW,2015-11-21,DET,@,STL,W,0,1,1,-1,0,0,0,0,0,,25,17:37
362,Tomas Tatar\tatarto01,24-010,C,2015-11-21,DET,@,STL,W,0,1,1,0,0,0,0,0,5,0.0,23,16:59
363,Brendan Smith\smithbr05,26-286,D,2015-11-21,DET,@,STL,W,0,1,1,1,2,0,0,0,0,,25,16:34
364,Riley Sheahan\sheahri01,23-016,C,2015-11-21,DET,@,STL,W,0,0,0,0,0,0,0,0,1,0.0,27,17:33
365,Brad Richards\richabr01,35-203,C,2015-11-21,DET,@,STL,W,0,2,2,0,0,0,0,0,3,0.0,20,14:25
366,Teemu Pulkkinen\pulkkte01,23-323,RW,2015-11-21,DET,@,STL,W,1,1,2,0,0,0,1,0,3,33.3,17,11:50
367,Gustav Nyquist\nyquigu01,26-081,RW,2015-11-21,DET,@,STL,W,0,0,0,0,0,0,0,0,2,0.0,22,17:18
368,Drew Miller\milledr01,31-277,LW,2015-11-21,DET,@,STL,W,0,0,0,1,0,0,0,0,1,0.0,22,14:15
369,Alexey Marchenko\marchal01,23-323,D,2015-11-21,DET,@,STL,W,0,0,0,1,0,0,0,0,0,,26,17:20
370,Dylan Larkin\larkidy01,19-114,C,2015-11-21,DET,@,STL,W,1,0,1,-1,0,1,0,0,6,16.7,25,14:05
371,Niklas Kronwall\kronwni01,34-313,D,2015-11-21,DET,@,STL,W,0,0,0,0,2,0,0,0,1,0.0,34,23:40
372,Darren Helm\helmda01,28-304,C,2015-11-21,DET,@,STL,W,0,1,1,1,0,0,0,0,2,0.0,21,15:14
373,Mike Green\greenmi03,30-040,D,2015-11-21,DET,@,STL,W,0,0,0,0,0,0,0,0,1,0.0,33,24:25
374,Luke Glendening\glendlu01,26-207,C,2015-11-21,DET,@,STL,W,1,0,1,1,0,1,0,0,1,100.0,24,14:32
375,Jonathan Ericsson\ericsjo01,31-264,D,2015-11-21,DET,@,STL,W,0,0,0,-1,0,0,0,0,0,,31,19:39
376,Danny DeKeyser\dekeyda01,25-259,D,2015-11-21,DET,@,STL,W,0,0,0,-1,0,0,0,0,2,0.0,32,22:21
377,Pavel Datsyuk\datsypa01,37-124,C,2015-11-21,DET,@,STL,W,1,0,1,0,0,1,0,0,3,33.3,24,19:05
378,Justin Abdelkader\abdelju01,28-269,LW,2015-11-21,DET,@,STL,W,0,1,1,-1,0,0,0,0,1,0.0,25,14:48
379,Henrik Zetterberg\zettehe01,35-047,LW,2015-11-25,DET,,BOS,L-OT,0,0,0,-1,2,0,0,0,3,0.0,24,17:03
380,Tomas Tatar\tatarto01,24-006,C,2015-11-25,DET,,BOS,L-OT,1,0,1,1,0,1,0,0,3,33.3,19,14:19
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
381,Brendan Smith\smithbr05,26-290,D,2015-11-25,DET,,BOS,L-OT,0,0,0,1,0,0,0,0,3,0.0,21,14:27
382,Riley Sheahan\sheahri01,23-012,C,2015-11-25,DET,,BOS,L-OT,0,1,1,0,0,0,0,0,0,,21,14:49
383,Brad Richards\richabr01,35-207,C,2015-11-25,DET,,BOS,L-OT,0,0,0,1,0,0,0,0,1,0.0,20,17:15
384,Teemu Pulkkinen\pulkkte01,23-327,RW,2015-11-25,DET,,BOS,L-OT,0,1,1,1,0,0,0,0,0,,21,15:26
385,Gustav Nyquist\nyquigu01,26-085,RW,2015-11-25,DET,,BOS,L-OT,0,0,0,1,0,0,0,0,0,,20,15:40
386,Drew Miller\milledr01,31-281,LW,2015-11-25,DET,,BOS,L-OT,0,0,0,-1,0,0,0,0,1,0.0,19,11:30
387,Alexey Marchenko\marchal01,23-327,D,2015-11-25,DET,,BOS,L-OT,0,1,1,1,0,0,0,0,1,0.0,22,13:39
388,Dylan Larkin\larkidy01,19-118,C,2015-11-25,DET,,BOS,L-OT,0,0,0,-1,2,0,0,0,3,0.0,21,17:22
389,Niklas Kronwall\kronwni01,34-317,D,2015-11-25,DET,,BOS,L-OT,0,0,0,0,0,0,0,0,4,0.0,30,26:48
390,Darren Helm\helmda01,28-308,C,2015-11-25,DET,,BOS,L-OT,0,1,1,-1,0,0,0,0,2,0.0,18,12:30
391,Mike Green\greenmi03,30-044,D,2015-11-25,DET,,BOS,L-OT,0,0,0,-2,0,0,0,0,1,0.0,27,21:44
392,Luke Glendening\glendlu01,26-211,C,2015-11-25,DET,,BOS,L-OT,0,0,0,-2,0,0,0,0,3,0.0,20,13:17
393,Jonathan Ericsson\ericsjo01,31-268,D,2015-11-25,DET,,BOS,L-OT,0,0,0,-1,2,0,0,0,3,0.0,28,21:08
394,Danny DeKeyser\dekeyda01,25-263,D,2015-11-25,DET,,BOS,L-OT,0,0,0,0,0,0,0,0,0,,31,21:51
395,Pavel Datsyuk\datsypa01,37-128,C,2015-11-25,DET,,BOS,L-OT,1,0,1,1,0,1,0,0,5,20.0,23,19:46
396,Justin Abdelkader\abdelju01,28-273,LW,2015-11-25,DET,,BOS,L-OT,0,0,0,-1,0,0,0,0,1,0.0,23,16:02
397,Henrik Zetterberg\zettehe01,35-049,LW,2015-11-27,DET,,EDM,W,0,2,2,2,0,0,0,0,0,,24,18:48
398,Tomas Tatar\tatarto01,24-004,C,2015-11-27,DET,,EDM,W,1,1,2,1,0,1,0,0,3,33.3,21,15:46
399,Brendan Smith\smithbr05,26-292,D,2015-11-27,DET,,EDM,W,0,0,0,-2,0,0,0,0,0,,22,16:03
400,Riley Sheahan\sheahri01,23-010,C,2015-11-27,DET,,EDM,W,0,0,0,1,0,0,0,0,2,0.0,22,15:16
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
401,Brad Richards\richabr01,35-209,C,2015-11-27,DET,,EDM,W,0,0,0,0,0,0,0,0,2,0.0,22,17:00
402,Teemu Pulkkinen\pulkkte01,23-329,RW,2015-11-27,DET,,EDM,W,0,0,0,0,0,0,0,0,1,0.0,20,13:59
403,Gustav Nyquist\nyquigu01,26-087,RW,2015-11-27,DET,,EDM,W,1,1,2,1,0,1,0,0,4,25.0,20,15:55
404,Drew Miller\milledr01,31-283,LW,2015-11-27,DET,,EDM,W,0,0,0,-1,0,0,0,0,2,0.0,17,10:47
405,Alexey Marchenko\marchal01,23-329,D,2015-11-27,DET,,EDM,W,0,0,0,-1,0,0,0,0,1,0.0,23,17:14
406,Dylan Larkin\larkidy01,19-120,C,2015-11-27,DET,,EDM,W,1,1,2,2,2,1,0,0,3,33.3,22,15:50
407,Niklas Kronwall\kronwni01,34-319,D,2015-11-27,DET,,EDM,W,1,0,1,1,0,1,0,0,1,100.0,31,23:25
408,Darren Helm\helmda01,28-310,C,2015-11-27,DET,,EDM,W,0,0,0,-1,0,0,0,0,5,0.0,19,12:32
409,Mike Green\greenmi03,30-046,D,2015-11-27,DET,,EDM,W,0,1,1,2,0,0,0,0,1,0.0,26,20:20
410,Luke Glendening\glendlu01,26-213,C,2015-11-27,DET,,EDM,W,0,0,0,-1,2,0,0,0,2,0.0,17,11:22
411,Jonathan Ericsson\ericsjo01,31-270,D,2015-11-27,DET,,EDM,W,0,1,1,1,0,0,0,0,1,0.0,28,19:07
412,Danny DeKeyser\dekeyda01,25-265,D,2015-11-27,DET,,EDM,W,0,0,0,2,0,0,0,0,1,0.0,29,21:00
413,Pavel Datsyuk\datsypa01,37-130,C,2015-11-27,DET,,EDM,W,0,0,0,0,0,0,0,0,2,0.0,22,18:01
414,Justin Abdelkader\abdelju01,28-275,LW,2015-11-27,DET,,EDM,W,0,0,0,1,0,0,0,0,1,0.0,22,15:55
415,Henrik Zetterberg\zettehe01,35-051,LW,2015-11-29,DET,,FLA,L-OT,0,0,0,1,0,0,0,0,4,0.0,22,18:16
416,Tomas Tatar\tatarto01,24-002,C,2015-11-29,DET,,FLA,L-OT,0,0,0,0,2,0,0,0,0,,16,12:31
417,Riley Sheahan\sheahri01,23-008,C,2015-11-29,DET,,FLA,L-OT,0,0,0,0,0,0,0,0,0,,21,13:07
418,Brad Richards\richabr01,35-211,C,2015-11-29,DET,,FLA,L-OT,0,0,0,0,0,0,0,0,5,0.0,21,17:30
419,Gustav Nyquist\nyquigu01,26-089,RW,2015-11-29,DET,,FLA,L-OT,0,0,0,-1,0,0,0,0,2,0.0,18,15:15
420,Drew Miller\milledr01,31-285,LW,2015-11-29,DET,,FLA,L-OT,0,0,0,-1,0,0,0,0,0,,16,12:26
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
421,Alexey Marchenko\marchal01,23-331,D,2015-11-29,DET,,FLA,L-OT,0,0,0,0,0,0,0,0,0,,21,16:07
422,Dylan Larkin\larkidy01,19-122,C,2015-11-29,DET,,FLA,L-OT,1,0,1,1,0,1,0,0,3,33.3,21,14:58
423,Niklas Kronwall\kronwni01,34-321,D,2015-11-29,DET,,FLA,L-OT,0,0,0,-2,0,0,0,0,2,0.0,32,22:15
424,Jakub Kindl\kindlja01,28-292,D,2015-11-29,DET,,FLA,L-OT,0,0,0,0,0,0,0,0,1,0.0,20,15:51
425,Tomas Jurco\jurcoto01,22-029,RW,2015-11-29,DET,,FLA,L-OT,0,0,0,-1,2,0,0,0,1,0.0,19,13:14
426,Darren Helm\helmda01,28-312,C,2015-11-29,DET,,FLA,L-OT,0,0,0,0,4,0,0,0,1,0.0,18,11:39
427,Mike Green\greenmi03,30-048,D,2015-11-29,DET,,FLA,L-OT,0,0,0,-1,6,0,0,0,1,0.0,30,17:48
428,Luke Glendening\glendlu01,26-215,C,2015-11-29,DET,,FLA,L-OT,0,0,0,-1,0,0,0,0,2,0.0,21,13:32
429,Jonathan Ericsson\ericsjo01,31-272,D,2015-11-29,DET,,FLA,L-OT,0,0,0,1,0,0,0,0,1,0.0,29,19:26
430,Danny DeKeyser\dekeyda01,25-267,D,2015-11-29,DET,,FLA,L-OT,0,0,0,1,0,0,0,0,0,,31,21:54
431,Pavel Datsyuk\datsypa01,37-132,C,2015-11-29,DET,,FLA,L-OT,0,0,0,0,0,0,0,0,3,0.0,25,21:58
432,Justin Abdelkader\abdelju01,28-277,LW,2015-11-29,DET,,FLA,L-OT,0,0,0,0,2,0,0,0,3,0.0,21,14:13
433,Henrik Zetterberg\zettehe01,35-053,LW,2015-12-01,DET,,BUF,W,0,0,0,0,2,0,0,0,3,0.0,24,17:45
434,Tomas Tatar\tatarto01,25-000,C,2015-12-01,DET,,BUF,W,1,0,1,1,0,1,0,0,4,25.0,23,15:47
435,Brendan Smith\smithbr05,26-296,D,2015-12-01,DET,,BUF,W,0,0,0,1,2,0,0,0,0,,22,16:56
436,Riley Sheahan\sheahri01,23-006,C,2015-12-01,DET,,BUF,W,0,0,0,1,0,0,0,0,4,0.0,22,15:09
437,Brad Richards\richabr01,35-213,C,2015-12-01,DET,,BUF,W,0,0,0,0,0,0,0,0,3,0.0,13,10:12
438,Teemu Pulkkinen\pulkkte01,23-333,RW,2015-12-01,DET,,BUF,W,0,0,0,0,0,0,0,0,0,,20,14:06
439,Gustav Nyquist\nyquigu01,26-091,RW,2015-12-01,DET,,BUF,W,0,2,2,1,2,0,0,0,3,0.0,25,17:56
440,Drew Miller\milledr01,31-287,LW,2015-12-01,DET,,BUF,W,1,0,1,0,0,1,0,0,5,20.0,16,12:05
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
441,Alexey Marchenko\marchal01,23-333,D,2015-12-01,DET,,BUF,W,0,0,0,1,0,0,0,0,2,0.0,22,16:27
442,Dylan Larkin\larkidy01,19-124,C,2015-12-01,DET,,BUF,W,0,0,0,0,0,0,0,0,5,0.0,24,15:29
443,Niklas Kronwall\kronwni01,34-323,D,2015-12-01,DET,,BUF,W,0,1,1,0,0,0,0,0,1,0.0,31,22:54
444,Darren Helm\helmda01,28-314,C,2015-12-01,DET,,BUF,W,0,0,0,-1,0,0,0,0,6,0.0,26,19:14
445,Mike Green\greenmi03,30-050,D,2015-12-01,DET,,BUF,W,0,1,1,0,0,0,0,0,3,0.0,30,23:40
446,Luke Glendening\glendlu01,26-217,C,2015-12-01,DET,,BUF,W,0,1,1,0,0,0,0,0,0,,20,13:05
447,Jonathan Ericsson\ericsjo01,31-274,D,2015-12-01,DET,,BUF,W,0,1,1,0,0,0,0,0,0,,30,23:48
448,Danny DeKeyser\dekeyda01,25-269,D,2015-12-01,DET,,BUF,W,0,1,1,0,2,0,0,0,0,,31,21:50
449,Pavel Datsyuk\datsypa01,37-134,C,2015-12-01,DET,,BUF,W,0,0,0,0,0,0,0,0,4,0.0,25,19:25
450,Justin Abdelkader\abdelju01,28-279,LW,2015-12-01,DET,,BUF,W,2,1,3,1,7,1,1,0,3,66.7,22,14:23
451,Henrik Zetterberg\zettehe01,35-055,LW,2015-12-03,DET,,ARI,W,0,0,0,2,0,0,0,0,7,0.0,22,20:39
452,Tomas Tatar\tatarto01,25-002,C,2015-12-03,DET,,ARI,W,0,1,1,0,0,0,0,0,3,0.0,23,18:26
453,Brendan Smith\smithbr05,26-298,D,2015-12-03,DET,,ARI,W,0,0,0,1,7,0,0,0,1,0.0,26,19:02
454,Riley Sheahan\sheahri01,23-004,C,2015-12-03,DET,,ARI,W,0,0,0,-1,0,0,0,0,2,0.0,24,18:16
455,Brad Richards\richabr01,35-215,C,2015-12-03,DET,,ARI,W,0,0,0,2,0,0,0,0,5,0.0,20,14:31
456,Teemu Pulkkinen\pulkkte01,23-335,RW,2015-12-03,DET,,ARI,W,0,0,0,0,0,0,0,0,0,,3,2:11
457,Gustav Nyquist\nyquigu01,26-093,RW,2015-12-03,DET,,ARI,W,1,0,1,1,0,1,0,0,5,20.0,22,18:15
458,Drew Miller\milledr01,31-289,LW,2015-12-03,DET,,ARI,W,0,0,0,0,0,0,0,0,0,,4,2:37
459,Alexey Marchenko\marchal01,23-335,D,2015-12-03,DET,,ARI,W,0,0,0,0,0,0,0,0,0,,27,19:49
460,Dylan Larkin\larkidy01,19-126,C,2015-12-03,DET,,ARI,W,0,1,1,3,0,0,0,0,0,,23,20:05
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
461,Niklas Kronwall\kronwni01,34-325,D,2015-12-03,DET,,ARI,W,1,0,1,2,0,1,0,0,2,50.0,20,18:46
462,Darren Helm\helmda01,28-316,C,2015-12-03,DET,,ARI,W,1,1,2,2,0,1,0,0,4,25.0,21,15:56
463,Mike Green\greenmi03,30-052,D,2015-12-03,DET,,ARI,W,0,1,1,2,0,0,0,0,1,0.0,21,19:54
464,Luke Glendening\glendlu01,26-219,C,2015-12-03,DET,,ARI,W,0,0,0,0,0,0,0,0,2,0.0,22,15:40
465,Jonathan Ericsson\ericsjo01,31-276,D,2015-12-03,DET,,ARI,W,0,1,1,2,0,0,0,0,3,0.0,30,16:17
466,Danny DeKeyser\dekeyda01,25-271,D,2015-12-03,DET,,ARI,W,1,0,1,1,0,1,0,0,4,25.0,32,18:12
467,Pavel Datsyuk\datsypa01,37-136,C,2015-12-03,DET,,ARI,W,0,2,2,2,0,0,0,0,1,0.0,23,21:36
468,Justin Abdelkader\abdelju01,28-281,LW,2015-12-03,DET,,ARI,W,1,0,1,1,0,1,0,0,4,25.0,23,18:10
469,Henrik Zetterberg\zettehe01,35-057,LW,2015-12-05,DET,,NSH,W,0,1,1,1,0,0,0,0,1,0.0,28,20:53
470,Tomas Tatar\tatarto01,25-004,C,2015-12-05,DET,,NSH,W,1,1,2,0,0,0,1,0,4,25.0,19,15:26
471,Brendan Smith\smithbr05,26-300,D,2015-12-05,DET,,NSH,W,0,0,0,0,0,0,0,0,1,0.0,24,15:00
472,Riley Sheahan\sheahri01,23-002,C,2015-12-05,DET,,NSH,W,0,0,0,0,0,0,0,0,2,0.0,23,16:47
473,Brad Richards\richabr01,35-217,C,2015-12-05,DET,,NSH,W,1,0,1,2,0,1,0,0,3,33.3,23,18:25
474,Gustav Nyquist\nyquigu01,26-095,RW,2015-12-05,DET,,NSH,W,1,1,2,0,0,1,0,0,1,100.0,22,16:46
475,Alexey Marchenko\marchal01,23-337,D,2015-12-05,DET,,NSH,W,0,0,0,0,0,0,0,0,1,0.0,21,11:51
476,Dylan Larkin\larkidy01,19-128,C,2015-12-05,DET,,NSH,W,1,1,2,2,0,1,0,0,6,16.7,25,17:44
477,Niklas Kronwall\kronwni01,34-327,D,2015-12-05,DET,,NSH,W,0,1,1,1,0,0,0,0,1,0.0,34,24:21
478,Tomas Jurco\jurcoto01,22-023,RW,2015-12-05,DET,,NSH,W,0,0,0,0,2,0,0,0,2,0.0,11,7:22
479,Darren Helm\helmda01,28-318,C,2015-12-05,DET,,NSH,W,0,0,0,0,2,0,0,0,2,0.0,22,17:56
480,Mike Green\greenmi03,30-054,D,2015-12-05,DET,,NSH,W,0,1,1,0,0,0,0,0,6,0.0,30,23:53
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
481,Luke Glendening\glendlu01,26-221,C,2015-12-05,DET,,NSH,W,0,0,0,0,0,0,0,0,1,0.0,16,8:53
482,Jonathan Ericsson\ericsjo01,31-278,D,2015-12-05,DET,,NSH,W,0,1,1,1,0,0,0,0,0,,30,19:31
483,Danny DeKeyser\dekeyda01,25-273,D,2015-12-05,DET,,NSH,W,0,0,0,0,2,0,0,0,2,0.0,31,19:39
484,Pavel Datsyuk\datsypa01,37-138,C,2015-12-05,DET,,NSH,W,0,1,1,1,0,0,0,0,0,,29,22:34
485,Joakim Andersson\anderjo03,26-303,C,2015-12-05,DET,,NSH,W,0,0,0,0,2,0,0,0,0,,12,7:08
486,Justin Abdelkader\abdelju01,28-283,LW,2015-12-05,DET,,NSH,W,1,0,1,0,2,0,1,0,3,33.3,25,16:35
487,Henrik Zetterberg\zettehe01,35-060,LW,2015-12-08,DET,@,WSH,L-SO,1,0,1,1,0,1,0,0,3,33.3,26,20:57
488,Tomas Tatar\tatarto01,25-007,C,2015-12-08,DET,@,WSH,L-SO,0,0,0,0,0,0,0,0,1,0.0,20,14:17
489,Brendan Smith\smithbr05,26-303,D,2015-12-08,DET,@,WSH,L-SO,0,0,0,0,2,0,0,0,0,,30,18:36
490,Riley Sheahan\sheahri01,24-001,C,2015-12-08,DET,@,WSH,L-SO,0,0,0,0,0,0,0,0,3,0.0,23,15:21
491,Brad Richards\richabr01,35-220,C,2015-12-08,DET,@,WSH,L-SO,0,0,0,-1,0,0,0,0,2,0.0,22,15:30
