
,,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,,,,
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
301,Jonathan Ericsson\ericsjo01,31-257,D,2015-11-14,DET,@,BOS,L,0,0,0,0,0,0,0,0,2,0.0,23,18:32
302,Danny DeKeyser\dekeyda01,25-252,D,2015-11-14,DET,@,BOS,L,0,0,0,0,0,0,0,0,0,,24,18:14
303,Pavel Datsyuk\datsypa01,37-117,C,2015-11-14,DET,@,BOS,L,0,0,0,-1,0,0,0,0,1,0.0,21,19:34
304,Andreas Athanasiou\athanan01,21-100,C,2015-11-14,DET,@,BOS,L,0,0,0,0,0,0,0,0,2,0.0,15,10:59
305,Joakim Andersson\anderjo03,26-282,C,2015-11-14,DET,@,BOS,L,0,0,0,0,0,0,0,0,1,0.0,13,10:26
306,Justin Abdelkader\abdelju01,28-262,LW,2015-11-14,DET,@,BOS,L,1,0,1,-2,0,0,1,0,2,50.0,23,17:04
307,Henrik Zetterberg\zettehe01,35-038,LW,2015-11-16,DET,@,OTT,W,0,0,0,2,0,0,0,0,2,0.0,25,18:40
308,Tomas Tatar\tatarto01,24-015,C,2015-11-16,DET,@,OTT,W,1,0,1,2,0,1,0,0,3,33.3,20,13:10
309,Riley Sheahan\sheahri01,23-021,C,2015-11-16,DET,@,OTT,W,1,0,1,-1,0,1,0,0,2,50.0,24,17:17
310,Teemu Pulkkinen\pulkkte01,23-318,RW,2015-11-16,DET,@,OTT,W,0,0,0,0,0,0,0,0,5,0.0,13,10:29
311,Gustav Nyquist\nyquigu01,26-076,RW,2015-11-16,DET,@,OTT,W,1,1,2,2,0,1,0,0,3,33.3,24,17:11
312,Drew Miller\milledr01,31-272,LW,2015-11-16,DET,@,OTT,W,0,0,0,0,0,0,0,0,2,0.0,17,10:04
313,Alexey Marchenko\marchal01,23-318,D,2015-11-16,DET,@,OTT,W,0,0,0,-1,0,0,0,0,0,,28,17:29
314,Dylan Larkin\larkidy01,19-109,C,2015-11-16,DET,@,OTT,W,1,0,1,1,2,1,0,0,2,50.0,23,17:38
315,Niklas Kronwall\kronwni01,34-308,D,2015-11-16,DET,@,OTT,W,0,0,0,0,0,0,0,0,0,,33,23:44
316,Jakub Kindl\kindlja01,28-279,D,2015-11-16,DET,@,OTT,W,0,0,0,1,0,0,0,0,6,0.0,28,17:46
