
,,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,,,,
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
901,Henrik Zetterberg\zettehe01,35-248,LW,2016-02-04,DET,@,FLA,L,0,1,1,-2,0,0,0,0,4,0.0,23,19:51
902,Tomas Tatar\tatarto01,25-301,C,2016-02-04,DET,@,FLA,L,0,1,1,-1,2,0,0,0,4,0.0,26,17:10
903,Brendan Smith\smithbr05,26-004,D,2016-02-04,DET,@,FLA,L,0,0,0,-2,2,0,0,0,2,0.0,25,20:05
904,Riley Sheahan\sheahri01,24-307,C,2016-02-04,DET,@,FLA,L,0,0,0,-1,0,0,0,0,1,0.0,20,13:22
905,Brad Richards\richabr01,35-088,C,2016-02-04,DET,@,FLA,L,0,0,0,-2,0,0,0,0,3,0.0,22,15:18
906,Kyle Quincey\quincky01,30-190,D,2016-02-04,DET,@,FLA,L,0,0,0,-1,0,0,0,0,2,0.0,24,17:31
907,Gustav Nyquist\nyquigu01,26-210,RW,2016-02-04,DET,@,FLA,L,0,0,0,0,0,0,0,0,1,0.0,22,16:35
908,Alexey Marchenko\marchal01,24-033,D,2016-02-04,DET,@,FLA,L,0,0,0,1,0,0,0,0,0,,26,15:45
909,Dylan Larkin\larkidy01,19-177,C,2016-02-04,DET,@,FLA,L,2,0,2,0,0,1,1,0,5,40.0,23,18:15
910,Tomas Jurco\jurcoto01,23-328,RW,2016-02-04,DET,@,FLA,L,0,0,0,-1,0,0,0,0,0,,17,10:29
911,Darren Helm\helmda01,29-014,C,2016-02-04,DET,@,FLA,L,0,0,0,-1,0,0,0,0,3,0.0,21,16:01
912,Mike Green\greenmi03,30-251,D,2016-02-04,DET,@,FLA,L,1,0,1,-2,2,0,1,0,2,50.0,27,20:31
913,Luke Glendening\glendlu01,26-084,C,2016-02-04,DET,@,FLA,L,0,0,0,0,0,0,0,0,0,,20,13:32
914,Jonathan Ericsson\ericsjo01,31-027,D,2016-02-04,DET,@,FLA,L,0,0,0,0,0,0,0,0,1,0.0,27,15:59
915,Danny DeKeyser\dekeyda01,25-032,D,2016-02-04,DET,@,FLA,L,0,0,0,-2,2,0,0,0,1,0.0,27,19:03
916,Pavel Datsyuk\datsypa01,37-167,C,2016-02-04,DET,@,FLA,L,0,0,0,-2,0,0,0,0,7,0.0,23,18:10
917,Joakim Andersson\anderjo03,26-001,C,2016-02-04,DET,@,FLA,L,0,0,0,0,0,0,0,0,0,,14,9:26
918,Justin Abdelkader\abdelju01,28-021,LW,2016-02-04,DET,@,FLA,L,0,2,2,0,2,0,0,0,3,0.0,20,15:49
919,Henrik Zetterberg\zettehe01,35-246,LW,2016-02-06,DET,,NYI,W,0,0,0,0,0,0,0,0,2,0.0,20,17:43
920,Tomas Tatar\tatarto01,25-299,C,2016-02-06,DET,,NYI,W,1,1,2,1,4,1,0,0,1,100.0,18,11:37
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
921,Brendan Smith\smithbr05,26-002,D,2016-02-06,DET,,NYI,W,0,0,0,1,2,0,0,0,0,,21,16:16
922,Riley Sheahan\sheahri01,24-305,C,2016-02-06,DET,,NYI,W,0,0,0,0,2,0,0,0,1,0.0,22,14:50
923,Brad Richards\richabr01,35-086,C,2016-02-06,DET,,NYI,W,0,2,2,1,0,0,0,0,0,,19,14:40
924,Kyle Quincey\quincky01,30-188,D,2016-02-06,DET,,NYI,W,1,0,1,2,0,1,0,0,1,100.0,27,20:46
925,Gustav Nyquist\nyquigu01,26-208,RW,2016-02-06,DET,,NYI,W,0,2,2,2,0,0,0,0,3,0.0,15,11:10
926,Alexey Marchenko\marchal01,24-035,D,2016-02-06,DET,,NYI,W,0,0,0,1,0,0,0,0,0,,27,18:49
927,Dylan Larkin\larkidy01,19-175,C,2016-02-06,DET,,NYI,W,1,1,2,2,0,1,0,0,2,50.0,19,13:58
928,Tomas Jurco\jurcoto01,23-326,RW,2016-02-06,DET,,NYI,W,1,0,1,1,0,1,0,0,1,100.0,17,10:46
929,Darren Helm\helmda01,29-016,C,2016-02-06,DET,,NYI,W,0,0,0,1,0,0,0,0,1,0.0,22,15:57
930,Mike Green\greenmi03,30-249,D,2016-02-06,DET,,NYI,W,1,0,1,1,2,0,1,0,3,33.3,21,17:14
931,Luke Glendening\glendlu01,26-082,C,2016-02-06,DET,,NYI,W,0,0,0,0,0,0,0,0,0,,26,17:23
932,Jonathan Ericsson\ericsjo01,31-025,D,2016-02-06,DET,,NYI,W,0,0,0,1,0,0,0,0,1,0.0,26,20:21
933,Danny DeKeyser\dekeyda01,25-030,D,2016-02-06,DET,,NYI,W,0,0,0,2,2,0,0,0,2,0.0,32,22:14
934,Pavel Datsyuk\datsypa01,37-165,C,2016-02-06,DET,,NYI,W,0,2,2,1,0,0,0,0,0,,22,17:26
935,Andreas Athanasiou\athanan01,21-182,C,2016-02-06,DET,,NYI,W,0,1,1,2,0,0,0,0,1,0.0,15,9:48
936,Justin Abdelkader\abdelju01,28-019,LW,2016-02-06,DET,,NYI,W,0,0,0,0,0,0,0,0,1,0.0,22,18:13
937,Henrik Zetterberg\zettehe01,35-244,LW,2016-02-08,DET,,FLA,W,0,2,2,1,0,0,0,0,3,0.0,23,20:20
938,Tomas Tatar\tatarto01,25-297,C,2016-02-08,DET,,FLA,W,1,0,1,1,0,1,0,0,3,33.3,17,10:41
939,Brendan Smith\smithbr05,27-000,D,2016-02-08,DET,,FLA,W,0,0,0,1,0,0,0,0,2,0.0,27,20:13
940,Riley Sheahan\sheahri01,24-303,C,2016-02-08,DET,,FLA,W,0,0,0,0,0,0,0,0,2,0.0,21,14:58
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
941,Brad Richards\richabr01,35-084,C,2016-02-08,DET,,FLA,W,0,1,1,1,2,0,0,0,1,0.0,17,13:40
942,Kyle Quincey\quincky01,30-186,D,2016-02-08,DET,,FLA,W,0,0,0,0,6,0,0,0,0,,29,18:11
943,Gustav Nyquist\nyquigu01,26-206,RW,2016-02-08,DET,,FLA,W,0,0,0,0,0,0,0,0,3,0.0,16,11:05
944,Alexey Marchenko\marchal01,24-037,D,2016-02-08,DET,,FLA,W,0,0,0,1,0,0,0,0,0,,23,15:34
945,Dylan Larkin\larkidy01,19-173,C,2016-02-08,DET,,FLA,W,0,1,1,1,0,0,0,0,3,0.0,21,14:50
946,Jakub Kindl\kindlja01,28-002,D,2016-02-08,DET,,FLA,W,0,1,1,1,2,0,0,0,2,0.0,17,13:43
947,Tomas Jurco\jurcoto01,23-324,RW,2016-02-08,DET,,FLA,W,0,0,0,0,0,0,0,0,1,0.0,10,7:06
948,Darren Helm\helmda01,29-018,C,2016-02-08,DET,,FLA,W,0,0,0,0,0,0,0,0,0,,23,17:08
949,Luke Glendening\glendlu01,26-080,C,2016-02-08,DET,,FLA,W,0,0,0,0,0,0,0,0,1,0.0,21,16:33
950,Jonathan Ericsson\ericsjo01,31-023,D,2016-02-08,DET,,FLA,W,0,0,0,1,0,0,0,0,1,0.0,29,20:51
951,Danny DeKeyser\dekeyda01,25-028,D,2016-02-08,DET,,FLA,W,0,0,0,0,0,0,0,0,0,,35,25:32
952,Pavel Datsyuk\datsypa01,37-163,C,2016-02-08,DET,,FLA,W,2,0,2,1,0,1,1,0,7,28.6,23,20:34
953,Andreas Athanasiou\athanan01,21-180,C,2016-02-08,DET,,FLA,W,0,0,0,0,0,0,0,0,0,,11,5:50
954,Justin Abdelkader\abdelju01,28-017,LW,2016-02-08,DET,,FLA,W,0,1,1,1,7,0,0,0,2,0.0,29,21:11
955,Henrik Zetterberg\zettehe01,35-242,LW,2016-02-10,DET,,OTT,W,1,0,1,1,0,1,0,0,2,50.0,22,19:20
956,Tomas Tatar\tatarto01,25-295,C,2016-02-10,DET,,OTT,W,0,0,0,1,2,0,0,0,0,,15,11:02
957,Brendan Smith\smithbr05,27-002,D,2016-02-10,DET,,OTT,W,0,1,1,1,0,0,0,0,3,0.0,31,21:21
958,Riley Sheahan\sheahri01,24-301,C,2016-02-10,DET,,OTT,W,0,0,0,1,0,0,0,0,0,,21,14:16
959,Brad Richards\richabr01,35-082,C,2016-02-10,DET,,OTT,W,0,0,0,0,0,0,0,0,1,0.0,14,13:05
960,Kyle Quincey\quincky01,30-184,D,2016-02-10,DET,,OTT,W,0,0,0,1,2,0,0,0,2,0.0,30,22:05
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
961,Gustav Nyquist\nyquigu01,26-204,RW,2016-02-10,DET,,OTT,W,0,1,1,2,0,0,0,0,2,0.0,17,13:23
962,Alexey Marchenko\marchal01,24-039,D,2016-02-10,DET,,OTT,W,0,0,0,1,2,0,0,0,2,0.0,26,19:18
963,Dylan Larkin\larkidy01,19-171,C,2016-02-10,DET,,OTT,W,0,0,0,0,0,0,0,0,3,0.0,14,12:41
964,Jakub Kindl\kindlja01,29-000,D,2016-02-10,DET,,OTT,W,0,0,0,1,2,0,0,0,1,0.0,18,10:12
