
,,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,,,,
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
1,Henrik Zetterberg\zettehe01,35-000,LW,2015-10-09,DET,,TOR,W,0,3,3,3,0,0,0,0,1,0.0,23,17:10
2,Tomas Tatar\tatarto01,24-053,C,2015-10-09,DET,,TOR,W,0,0,0,0,0,0,0,0,2,0.0,20,15:29
3,Brendan Smith\smithbr05,26-243,D,2015-10-09,DET,,TOR,W,0,0,0,1,0,0,0,0,0,,29,20:32
4,Riley Sheahan\sheahri01,23-059,C,2015-10-09,DET,,TOR,W,0,0,0,0,0,0,0,0,1,0.0,24,17:47
5,Brad Richards\richabr01,35-160,C,2015-10-09,DET,,TOR,W,0,0,0,0,0,0,0,0,2,0.0,20,13:52
6,Kyle Quincey\quincky01,30-058,D,2015-10-09,DET,,TOR,W,0,1,1,1,2,0,0,0,0,,28,19:08
7,Teemu Pulkkinen\pulkkte01,23-280,RW,2015-10-09,DET,,TOR,W,0,0,0,0,0,0,0,0,0,,19,13:10
8,Gustav Nyquist\nyquigu01,26-038,RW,2015-10-09,DET,,TOR,W,0,0,0,0,2,0,0,0,2,0.0,22,15:44
9,Drew Miller\milledr01,31-234,LW,2015-10-09,DET,,TOR,W,0,0,0,0,0,0,0,0,0,,21,13:34
10,Dylan Larkin\larkidy01,19-071,C,2015-10-09,DET,,TOR,W,1,1,2,3,0,1,0,0,6,16.7,20,13:42
11,Niklas Kronwall\kronwni01,34-270,D,2015-10-09,DET,,TOR,W,0,0,0,1,0,0,0,0,0,,28,18:39
12,Jakub Kindl\kindlja01,28-241,D,2015-10-09,DET,,TOR,W,0,1,1,1,0,0,0,0,0,,33,20:40
13,Mike Green\greenmi03,29-003,D,2015-10-09,DET,,TOR,W,0,1,1,2,0,0,0,0,0,,28,21:16
14,Luke Glendening\glendlu01,26-164,C,2015-10-09,DET,,TOR,W,0,0,0,0,0,0,0,0,2,0.0,21,13:20
15,Johan Franzen\franzjo01,35-075,LW,2015-10-09,DET,,TOR,W,0,1,1,0,0,0,0,0,2,0.0,19,13:21
16,Landon Ferraro\ferrala01,24-062,C,2015-10-09,DET,,TOR,W,0,0,0,0,0,0,0,0,1,0.0,17,10:22
17,Jonathan Ericsson\ericsjo01,31-221,D,2015-10-09,DET,,TOR,W,0,0,0,0,2,0,0,0,0,,29,17:09
18,Justin Abdelkader\abdelju01,28-226,LW,2015-10-09,DET,,TOR,W,3,0,3,2,0,2,1,0,3,100.0,25,17:05
19,Henrik Zetterberg\zettehe01,35-001,LW,2015-10-10,DET,@,CAR,W,1,1,2,2,0,1,0,0,2,50.0,23,17:55
20,Tomas Tatar\tatarto01,24-052,C,2015-10-10,DET,@,CAR,W,0,1,1,1,0,0,0,0,0,,18,12:15
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
21,Brendan Smith\smithbr05,26-244,D,2015-10-10,DET,@,CAR,W,0,0,0,0,0,0,0,0,1,0.0,26,19:10
22,Riley Sheahan\sheahri01,23-058,C,2015-10-10,DET,@,CAR,W,0,0,0,0,0,0,0,0,1,0.0,23,12:27
23,Brad Richards\richabr01,35-161,C,2015-10-10,DET,@,CAR,W,0,0,0,-1,0,0,0,0,0,,17,12:17
24,Kyle Quincey\quincky01,30-059,D,2015-10-10,DET,@,CAR,W,0,0,0,2,0,0,0,0,1,0.0,29,18:47
25,Teemu Pulkkinen\pulkkte01,23-281,RW,2015-10-10,DET,@,CAR,W,2,0,2,2,6,2,0,0,3,66.7,19,13:20
26,Gustav Nyquist\nyquigu01,26-039,RW,2015-10-10,DET,@,CAR,W,0,1,1,0,0,0,0,0,0,,19,13:26
27,Drew Miller\milledr01,31-235,LW,2015-10-10,DET,@,CAR,W,0,0,0,-1,0,0,0,0,0,,24,15:56
28,Dylan Larkin\larkidy01,19-072,C,2015-10-10,DET,@,CAR,W,0,1,1,3,2,0,0,0,4,0.0,19,15:22
29,Niklas Kronwall\kronwni01,34-271,D,2015-10-10,DET,@,CAR,W,0,0,0,0,0,0,0,0,0,,30,22:24
30,Jakub Kindl\kindlja01,28-242,D,2015-10-10,DET,@,CAR,W,0,0,0,0,0,0,0,0,1,0.0,23,17:59
31,Mike Green\greenmi03,29-002,D,2015-10-10,DET,@,CAR,W,0,0,0,2,0,0,0,0,0,,25,18:38
32,Luke Glendening\glendlu01,26-165,C,2015-10-10,DET,@,CAR,W,0,0,0,-1,0,0,0,0,1,0.0,24,16:42
33,Johan Franzen\franzjo01,35-074,LW,2015-10-10,DET,@,CAR,W,0,0,0,0,2,0,0,0,1,0.0,18,12:33
34,Landon Ferraro\ferrala01,24-063,C,2015-10-10,DET,@,CAR,W,0,0,0,-1,0,0,0,0,2,0.0,18,11:43
35,Jonathan Ericsson\ericsjo01,31-222,D,2015-10-10,DET,@,CAR,W,0,0,0,0,0,0,0,0,0,,31,21:52
36,Justin Abdelkader\abdelju01,28-227,LW,2015-10-10,DET,@,CAR,W,1,1,2,2,4,1,0,0,2,50.0,24,17:02
37,Henrik Zetterberg\zettehe01,35-004,LW,2015-10-13,DET,,TBL,W,1,1,2,0,0,1,0,0,1,100.0,21,17:27
38,Tomas Tatar\tatarto01,24-049,C,2015-10-13,DET,,TBL,W,0,0,0,0,0,0,0,0,0,,15,13:38
