
,,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,,,,
39,Brendan Smith\smithbr05,26-247,D,2015-10-13,DET,,TBL,W,0,0,0,1,0,0,0,0,0,,19,18:04
40,Riley Sheahan\sheahri01,23-055,C,2015-10-13,DET,,TBL,W,0,0,0,0,2,0,0,0,3,0.0,27,16:43
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
41,Brad Richards\richabr01,35-164,C,2015-10-13,DET,,TBL,W,0,1,1,1,0,0,0,0,3,0.0,19,15:41
42,Kyle Quincey\quincky01,30-062,D,2015-10-13,DET,,TBL,W,1,1,2,1,0,1,0,0,4,25.0,25,19:08
43,Teemu Pulkkinen\pulkkte01,23-284,RW,2015-10-13,DET,,TBL,W,0,0,0,0,0,0,0,0,2,0.0,20,13:01
44,Gustav Nyquist\nyquigu01,26-042,RW,2015-10-13,DET,,TBL,W,1,0,1,0,0,0,1,0,3,33.3,18,10:35
45,Drew Miller\milledr01,31-238,LW,2015-10-13,DET,,TBL,W,0,1,1,1,0,0,0,0,0,,24,17:15
46,Dylan Larkin\larkidy01,19-075,C,2015-10-13,DET,,TBL,W,0,1,1,0,0,0,0,0,2,0.0,20,15:24
47,Niklas Kronwall\kronwni01,34-274,D,2015-10-13,DET,,TBL,W,0,1,1,1,0,0,0,0,0,,30,23:15
48,Jakub Kindl\kindlja01,28-245,D,2015-10-13,DET,,TBL,W,0,0,0,0,0,0,0,0,1,0.0,20,16:05
49,Tomas Jurco\jurcoto01,22-076,RW,2015-10-13,DET,,TBL,W,0,0,0,0,2,0,0,0,1,0.0,16,11:17
50,Mike Green\greenmi03,30-001,D,2015-10-13,DET,,TBL,W,0,0,0,-1,0,0,0,0,2,0.0,25,19:57
51,Luke Glendening\glendlu01,26-168,C,2015-10-13,DET,,TBL,W,0,0,0,1,2,0,0,0,0,,25,16:35
52,Landon Ferraro\ferrala01,24-066,C,2015-10-13,DET,,TBL,W,0,0,0,0,0,0,0,0,0,,20,12:43
53,Jonathan Ericsson\ericsjo01,31-225,D,2015-10-13,DET,,TBL,W,0,0,0,0,0,0,0,0,0,,28,19:43
54,Justin Abdelkader\abdelju01,28-230,LW,2015-10-13,DET,,TBL,W,0,0,0,0,0,0,0,0,2,0.0,21,17:34
55,Henrik Zetterberg\zettehe01,35-007,LW,2015-10-16,DET,,CAR,L,0,1,1,-1,0,0,0,0,0,,22,17:17
56,Tomas Tatar\tatarto01,24-046,C,2015-10-16,DET,,CAR,L,0,1,1,0,0,0,0,0,1,0.0,22,15:38
57,Brendan Smith\smithbr05,26-250,D,2015-10-16,DET,,CAR,L,0,0,0,-2,0,0,0,0,0,,21,14:48
58,Riley Sheahan\sheahri01,23-052,C,2015-10-16,DET,,CAR,L,1,0,1,0,0,1,0,0,2,50.0,21,15:30
59,Brad Richards\richabr01,35-167,C,2015-10-16,DET,,CAR,L,0,1,1,0,0,0,0,0,3,0.0,22,16:16
60,Kyle Quincey\quincky01,30-065,D,2015-10-16,DET,,CAR,L,0,0,0,0,0,0,0,0,1,0.0,27,23:23
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
61,Teemu Pulkkinen\pulkkte01,23-287,RW,2015-10-16,DET,,CAR,L,1,0,1,1,2,1,0,0,3,33.3,20,16:07
62,Gustav Nyquist\nyquigu01,26-045,RW,2015-10-16,DET,,CAR,L,1,0,1,0,0,1,0,0,1,100.0,20,17:16
63,Drew Miller\milledr01,31-241,LW,2015-10-16,DET,,CAR,L,0,0,0,-1,0,0,0,0,1,0.0,18,13:29
64,Dylan Larkin\larkidy01,19-078,C,2015-10-16,DET,,CAR,L,0,1,1,0,2,0,0,0,0,,22,17:43
65,Niklas Kronwall\kronwni01,34-277,D,2015-10-16,DET,,CAR,L,0,0,0,1,0,0,0,0,0,,27,19:40
66,Jakub Kindl\kindlja01,28-248,D,2015-10-16,DET,,CAR,L,0,0,0,-1,0,0,0,0,0,,22,17:58
67,Tomas Jurco\jurcoto01,22-073,RW,2015-10-16,DET,,CAR,L,0,0,0,0,0,0,0,0,0,,16,10:34
68,Mike Green\greenmi03,30-004,D,2015-10-16,DET,,CAR,L,0,0,0,-1,0,0,0,0,1,0.0,27,24:30
69,Luke Glendening\glendlu01,26-171,C,2015-10-16,DET,,CAR,L,0,0,0,0,0,0,0,0,1,0.0,20,13:54
70,Landon Ferraro\ferrala01,24-069,C,2015-10-16,DET,,CAR,L,0,0,0,-1,0,0,0,0,2,0.0,16,11:53
71,Jonathan Ericsson\ericsjo01,31-228,D,2015-10-16,DET,,CAR,L,0,0,0,1,2,0,0,0,2,0.0,23,15:40
72,Justin Abdelkader\abdelju01,28-233,LW,2015-10-16,DET,,CAR,L,0,0,0,-1,0,0,0,0,2,0.0,22,16:21
73,Henrik Zetterberg\zettehe01,35-008,LW,2015-10-17,DET,@,MTL,L,0,1,1,-1,0,0,0,0,0,,21,19:40
74,Tomas Tatar\tatarto01,24-045,C,2015-10-17,DET,@,MTL,L,0,0,0,-1,0,0,0,0,2,0.0,18,14:07
75,Riley Sheahan\sheahri01,23-051,C,2015-10-17,DET,@,MTL,L,0,0,0,0,0,0,0,0,2,0.0,21,16:20
76,Brad Richards\richabr01,35-168,C,2015-10-17,DET,@,MTL,L,0,0,0,0,0,0,0,0,3,0.0,17,13:34
77,Kyle Quincey\quincky01,30-066,D,2015-10-17,DET,@,MTL,L,0,0,0,0,0,0,0,0,1,0.0,23,16:30
78,Teemu Pulkkinen\pulkkte01,23-288,RW,2015-10-17,DET,@,MTL,L,0,0,0,-1,0,0,0,0,5,0.0,21,16:22
79,Gustav Nyquist\nyquigu01,26-046,RW,2015-10-17,DET,@,MTL,L,0,0,0,-1,0,0,0,0,2,0.0,19,14:53
80,Drew Miller\milledr01,31-242,LW,2015-10-17,DET,@,MTL,L,0,0,0,0,0,0,0,0,2,0.0,19,12:24
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
81,Dylan Larkin\larkidy01,19-079,C,2015-10-17,DET,@,MTL,L,1,0,1,1,2,1,0,0,2,50.0,22,20:21
82,Niklas Kronwall\kronwni01,34-278,D,2015-10-17,DET,@,MTL,L,0,0,0,-2,0,0,0,0,0,,29,23:00
83,Jakub Kindl\kindlja01,28-249,D,2015-10-17,DET,@,MTL,L,0,0,0,1,0,0,0,0,0,,20,15:20
84,Darren Helm\helmda01,28-269,C,2015-10-17,DET,@,MTL,L,0,0,0,-1,2,0,0,0,0,,19,9:12
85,Mike Green\greenmi03,30-005,D,2015-10-17,DET,@,MTL,L,0,0,0,-2,0,0,0,0,0,,28,22:47
86,Luke Glendening\glendlu01,26-172,C,2015-10-17,DET,@,MTL,L,0,0,0,0,0,0,0,0,0,,21,15:33
87,Jonathan Ericsson\ericsjo01,31-229,D,2015-10-17,DET,@,MTL,L,0,0,0,0,2,0,0,0,1,0.0,23,15:58
88,Danny DeKeyser\dekeyda01,25-224,D,2015-10-17,DET,@,MTL,L,0,0,0,1,0,0,0,0,2,0.0,28,20:30
89,Joakim Andersson\anderjo03,26-254,C,2015-10-17,DET,@,MTL,L,0,0,0,0,2,0,0,0,0,,17,8:52
90,Justin Abdelkader\abdelju01,28-234,LW,2015-10-17,DET,@,MTL,L,0,0,0,0,2,0,0,0,0,,21,17:38
91,Henrik Zetterberg\zettehe01,35-012,LW,2015-10-21,DET,@,EDM,L,0,0,0,0,0,0,0,0,4,0.0,27,22:40
92,Tomas Tatar\tatarto01,24-041,C,2015-10-21,DET,@,EDM,L,1,0,1,0,0,1,0,0,1,100.0,22,17:02
93,Riley Sheahan\sheahri01,23-047,C,2015-10-21,DET,@,EDM,L,0,1,1,-1,0,0,0,0,3,0.0,24,16:14
94,Brad Richards\richabr01,35-172,C,2015-10-21,DET,@,EDM,L,0,0,0,-1,0,0,0,0,2,0.0,21,14:49
95,Kyle Quincey\quincky01,30-070,D,2015-10-21,DET,@,EDM,L,0,0,0,-1,0,0,0,0,3,0.0,23,14:53
96,Teemu Pulkkinen\pulkkte01,23-292,RW,2015-10-21,DET,@,EDM,L,0,0,0,-1,0,0,0,0,1,0.0,20,10:59
97,Gustav Nyquist\nyquigu01,26-050,RW,2015-10-21,DET,@,EDM,L,0,1,1,0,0,0,0,0,3,0.0,22,19:47
98,Drew Miller\milledr01,31-246,LW,2015-10-21,DET,@,EDM,L,0,0,0,0,2,0,0,0,0,,16,9:46
99,Dylan Larkin\larkidy01,19-083,C,2015-10-21,DET,@,EDM,L,0,0,0,0,0,0,0,0,2,0.0,24,20:37
100,Niklas Kronwall\kronwni01,34-282,D,2015-10-21,DET,@,EDM,L,0,0,0,1,0,0,0,0,4,0.0,33,24:34
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
101,Jakub Kindl\kindlja01,28-253,D,2015-10-21,DET,@,EDM,L,0,0,0,-1,0,0,0,0,1,0.0,23,17:42
102,Darren Helm\helmda01,28-273,C,2015-10-21,DET,@,EDM,L,0,0,0,0,0,0,0,0,1,0.0,24,12:18
103,Mike Green\greenmi03,30-009,D,2015-10-21,DET,@,EDM,L,0,0,0,-1,2,0,0,0,2,0.0,27,24:10
104,Luke Glendening\glendlu01,26-176,C,2015-10-21,DET,@,EDM,L,0,0,0,0,0,0,0,0,1,0.0,18,11:12
105,Landon Ferraro\ferrala01,24-074,C,2015-10-21,DET,@,EDM,L,0,0,0,0,0,0,0,0,0,,13,8:47
106,Jonathan Ericsson\ericsjo01,31-233,D,2015-10-21,DET,@,EDM,L,0,0,0,1,0,0,0,0,1,0.0,21,12:05
107,Danny DeKeyser\dekeyda01,25-228,D,2015-10-21,DET,@,EDM,L,0,0,0,-1,0,0,0,0,0,,26,17:30
108,Justin Abdelkader\abdelju01,28-238,LW,2015-10-21,DET,@,EDM,L,0,0,0,0,0,0,0,0,0,,28,22:37
109,Henrik Zetterberg\zettehe01,35-014,LW,2015-10-23,DET,@,CGY,L-OT,0,1,1,-1,0,0,0,0,2,0.0,27,20:55
110,Tomas Tatar\tatarto01,24-039,C,2015-10-23,DET,@,CGY,L-OT,0,0,0,0,0,0,0,0,5,0.0,24,14:51
111,Brendan Smith\smithbr05,26-257,D,2015-10-23,DET,@,CGY,L-OT,1,0,1,0,0,0,1,0,2,50.0,36,21:48
112,Riley Sheahan\sheahri01,23-045,C,2015-10-23,DET,@,CGY,L-OT,0,0,0,-2,0,0,0,0,1,0.0,23,15:17
113,Kyle Quincey\quincky01,30-072,D,2015-10-23,DET,@,CGY,L-OT,0,0,0,-2,4,0,0,0,0,,35,21:10
114,Teemu Pulkkinen\pulkkte01,23-294,RW,2015-10-23,DET,@,CGY,L-OT,0,1,1,0,2,0,0,0,2,0.0,21,11:38
115,Gustav Nyquist\nyquigu01,26-052,RW,2015-10-23,DET,@,CGY,L-OT,1,0,1,0,0,0,1,0,1,100.0,22,16:52
116,Drew Miller\milledr01,31-248,LW,2015-10-23,DET,@,CGY,L-OT,0,0,0,-1,0,0,0,0,0,,19,12:34
117,Dylan Larkin\larkidy01,19-085,C,2015-10-23,DET,@,CGY,L-OT,0,1,1,0,0,0,0,0,3,0.0,22,15:05
118,Niklas Kronwall\kronwni01,34-284,D,2015-10-23,DET,@,CGY,L-OT,0,0,0,-1,0,0,0,0,2,0.0,40,24:35
119,Darren Helm\helmda01,28-275,C,2015-10-23,DET,@,CGY,L-OT,0,0,0,-1,0,0,0,0,2,0.0,28,17:38
120,Mike Green\greenmi03,30-011,D,2015-10-23,DET,@,CGY,L-OT,0,1,1,0,0,0,0,0,1,0.0,8,6:03
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
121,Luke Glendening\glendlu01,26-178,C,2015-10-23,DET,@,CGY,L-OT,0,0,0,-1,0,0,0,0,2,0.0,24,16:31
122,Landon Ferraro\ferrala01,24-076,C,2015-10-23,DET,@,CGY,L-OT,0,0,0,0,5,0,0,0,2,0.0,13,8:26
123,Jonathan Ericsson\ericsjo01,31-235,D,2015-10-23,DET,@,CGY,L-OT,0,0,0,0,2,0,0,0,0,,40,24:47
124,Danny DeKeyser\dekeyda01,25-230,D,2015-10-23,DET,@,CGY,L-OT,0,0,0,-2,0,0,0,0,0,,38,22:52
125,Joakim Andersson\anderjo03,26-260,C,2015-10-23,DET,@,CGY,L-OT,0,0,0,0,0,0,0,0,2,0.0,15,10:55
126,Justin Abdelkader\abdelju01,28-240,LW,2015-10-23,DET,@,CGY,L-OT,0,0,0,-2,0,0,0,0,2,0.0,26,19:39
127,Henrik Zetterberg\zettehe01,35-015,LW,2015-10-24,DET,@,VAN,W,0,1,1,1,0,0,0,0,3,0.0,27,24:48
128,Tomas Tatar\tatarto01,24-038,C,2015-10-24,DET,@,VAN,W,1,1,2,1,0,0,1,0,4,25.0,25,20:15
129,Brendan Smith\smithbr05,26-258,D,2015-10-24,DET,@,VAN,W,0,1,1,1,0,0,0,0,1,0.0,30,16:33
130,Riley Sheahan\sheahri01,23-044,C,2015-10-24,DET,@,VAN,W,0,0,0,0,2,0,0,0,0,,21,12:37
131,Teemu Pulkkinen\pulkkte01,23-295,RW,2015-10-24,DET,@,VAN,W,1,0,1,1,0,1,0,0,1,100.0,19,13:56
132,Gustav Nyquist\nyquigu01,26-053,RW,2015-10-24,DET,@,VAN,W,1,0,1,1,2,1,0,0,6,16.7,27,23:51
133,Drew Miller\milledr01,31-249,LW,2015-10-24,DET,@,VAN,W,0,0,0,0,0,0,0,0,2,0.0,19,10:47
134,Alexey Marchenko\marchal01,23-295,D,2015-10-24,DET,@,VAN,W,0,0,0,0,0,0,0,0,0,,25,16:34
135,Dylan Larkin\larkidy01,19-086,C,2015-10-24,DET,@,VAN,W,0,0,0,1,0,0,0,0,2,0.0,20,15:41
136,Niklas Kronwall\kronwni01,34-285,D,2015-10-24,DET,@,VAN,W,0,1,1,0,0,0,0,0,2,0.0,35,27:04
137,Jakub Kindl\kindlja01,28-256,D,2015-10-24,DET,@,VAN,W,0,0,0,2,2,0,0,0,1,0.0,25,14:54
138,Darren Helm\helmda01,28-276,C,2015-10-24,DET,@,VAN,W,0,0,0,0,0,0,0,0,2,0.0,22,15:06
139,Luke Glendening\glendlu01,26-179,C,2015-10-24,DET,@,VAN,W,0,0,0,0,0,0,0,0,0,,23,16:35
140,Landon Ferraro\ferrala01,24-077,C,2015-10-24,DET,@,VAN,W,0,0,0,0,0,0,0,0,1,0.0,11,5:48
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
141,Jonathan Ericsson\ericsjo01,31-236,D,2015-10-24,DET,@,VAN,W,0,0,0,0,2,0,0,0,2,0.0,31,21:54
142,Danny DeKeyser\dekeyda01,25-231,D,2015-10-24,DET,@,VAN,W,0,0,0,0,0,0,0,0,0,,31,18:26
143,Joakim Andersson\anderjo03,26-261,C,2015-10-24,DET,@,VAN,W,0,0,0,0,0,0,0,0,0,,18,9:11
144,Justin Abdelkader\abdelju01,28-241,LW,2015-10-24,DET,@,VAN,W,0,0,0,0,0,0,0,0,1,0.0,27,22:37
145,Henrik Zetterberg\zettehe01,35-018,LW,2015-10-27,DET,,CAR,L,0,0,0,-2,0,0,0,0,4,0.0,25,18:34
146,Tomas Tatar\tatarto01,24-035,C,2015-10-27,DET,,CAR,L,0,0,0,-1,2,0,0,0,1,0.0,19,12:55
147,Brendan Smith\smithbr05,26-261,D,2015-10-27,DET,,CAR,L,0,0,0,1,0,0,0,0,1,0.0,25,19:40
148,Riley Sheahan\sheahri01,23-041,C,2015-10-27,DET,,CAR,L,0,0,0,-1,2,0,0,0,1,0.0,19,13:10
149,Teemu Pulkkinen\pulkkte01,23-298,RW,2015-10-27,DET,,CAR,L,0,0,0,0,0,0,0,0,1,0.0,21,15:10
150,Gustav Nyquist\nyquigu01,26-056,RW,2015-10-27,DET,,CAR,L,0,0,0,-1,0,0,0,0,2,0.0,24,17:11
151,Drew Miller\milledr01,31-252,LW,2015-10-27,DET,,CAR,L,0,0,0,0,0,0,0,0,3,0.0,21,13:44
152,Alexey Marchenko\marchal01,23-298,D,2015-10-27,DET,,CAR,L,0,0,0,0,0,0,0,0,0,,24,15:49
153,Dylan Larkin\larkidy01,19-089,C,2015-10-27,DET,,CAR,L,0,0,0,0,0,0,0,0,2,0.0,20,17:44
154,Niklas Kronwall\kronwni01,34-288,D,2015-10-27,DET,,CAR,L,0,0,0,-3,0,0,0,0,0,,33,22:51
155,Jakub Kindl\kindlja01,28-259,D,2015-10-27,DET,,CAR,L,1,0,1,0,2,1,0,0,2,50.0,25,19:35
156,Tomas Jurco\jurcoto01,22-062,RW,2015-10-27,DET,,CAR,L,0,1,1,0,0,0,0,0,1,0.0,14,9:10
157,Darren Helm\helmda01,28-279,C,2015-10-27,DET,,CAR,L,0,0,0,-1,0,0,0,0,3,0.0,19,13:16
158,Luke Glendening\glendlu01,26-182,C,2015-10-27,DET,,CAR,L,0,0,0,0,0,0,0,0,0,,22,15:14
159,Jonathan Ericsson\ericsjo01,31-239,D,2015-10-27,DET,,CAR,L,0,0,0,-2,0,0,0,0,1,0.0,28,18:59
160,Danny DeKeyser\dekeyda01,25-234,D,2015-10-27,DET,,CAR,L,0,0,0,0,0,0,0,0,0,,30,21:23
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
161,Joakim Andersson\anderjo03,26-264,C,2015-10-27,DET,,CAR,L,0,0,0,0,0,0,0,0,1,0.0,18,11:16
162,Justin Abdelkader\abdelju01,28-244,LW,2015-10-27,DET,,CAR,L,0,0,0,-1,2,0,0,0,3,0.0,24,19:06
163,Henrik Zetterberg\zettehe01,35-021,LW,2015-10-30,DET,,OTT,L,1,0,1,-1,0,0,1,0,3,33.3,24,19:14
164,Tomas Tatar\tatarto01,24-032,C,2015-10-30,DET,,OTT,L,0,0,0,-3,0,0,0,0,1,0.0,25,16:13
165,Brendan Smith\smithbr05,26-264,D,2015-10-30,DET,,OTT,L,0,0,0,0,2,0,0,0,0,,25,15:59
166,Riley Sheahan\sheahri01,23-038,C,2015-10-30,DET,,OTT,L,0,0,0,-1,0,0,0,0,3,0.0,26,17:51
167,Teemu Pulkkinen\pulkkte01,23-301,RW,2015-10-30,DET,,OTT,L,0,1,1,-1,0,0,0,0,4,0.0,19,16:56
168,Gustav Nyquist\nyquigu01,26-059,RW,2015-10-30,DET,,OTT,L,0,1,1,-2,0,0,0,0,7,0.0,23,17:32
169,Drew Miller\milledr01,31-255,LW,2015-10-30,DET,,OTT,L,0,0,0,0,0,0,0,0,2,0.0,19,13:03
170,Alexey Marchenko\marchal01,23-301,D,2015-10-30,DET,,OTT,L,0,0,0,-2,0,0,0,0,0,,27,16:24
171,Dylan Larkin\larkidy01,19-092,C,2015-10-30,DET,,OTT,L,0,0,0,0,0,0,0,0,3,0.0,23,16:36
172,Niklas Kronwall\kronwni01,34-291,D,2015-10-30,DET,,OTT,L,0,0,0,-1,0,0,0,0,1,0.0,31,25:48
173,Jakub Kindl\kindlja01,28-262,D,2015-10-30,DET,,OTT,L,0,0,0,-1,2,0,0,0,0,,25,16:11
174,Tomas Jurco\jurcoto01,22-059,RW,2015-10-30,DET,,OTT,L,0,0,0,0,2,0,0,0,0,,16,9:10
175,Darren Helm\helmda01,28-282,C,2015-10-30,DET,,OTT,L,0,0,0,-1,0,0,0,0,0,,19,12:20
176,Luke Glendening\glendlu01,26-185,C,2015-10-30,DET,,OTT,L,0,0,0,-1,0,0,0,0,0,,20,14:39
177,Jonathan Ericsson\ericsjo01,31-242,D,2015-10-30,DET,,OTT,L,0,0,0,0,0,0,0,0,1,0.0,27,17:44
178,Danny DeKeyser\dekeyda01,25-237,D,2015-10-30,DET,,OTT,L,0,0,0,-1,0,0,0,0,1,0.0,26,19:18
179,Joakim Andersson\anderjo03,26-267,C,2015-10-30,DET,,OTT,L,0,0,0,0,0,0,0,0,0,,15,10:57
180,Justin Abdelkader\abdelju01,28-247,LW,2015-10-30,DET,,OTT,L,0,0,0,-1,2,0,0,0,4,0.0,24,18:35
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
181,Henrik Zetterberg\zettehe01,35-022,LW,2015-10-31,DET,@,OTT,W,0,2,2,0,0,0,0,0,3,0.0,23,17:52
182,Tomas Tatar\tatarto01,24-031,C,2015-10-31,DET,@,OTT,W,1,1,2,-1,0,0,1,0,2,50.0,20,14:03
183,Brendan Smith\smithbr05,26-265,D,2015-10-31,DET,@,OTT,W,0,0,0,1,2,0,0,0,3,0.0,31,19:44
184,Riley Sheahan\sheahri01,23-037,C,2015-10-31,DET,@,OTT,W,0,1,1,-1,0,0,0,0,0,,21,15:24
185,Teemu Pulkkinen\pulkkte01,23-302,RW,2015-10-31,DET,@,OTT,W,0,0,0,1,0,0,0,0,3,0.0,13,9:52
186,Gustav Nyquist\nyquigu01,26-060,RW,2015-10-31,DET,@,OTT,W,1,1,2,0,2,0,1,0,3,33.3,20,15:11
187,Drew Miller\milledr01,31-256,LW,2015-10-31,DET,@,OTT,W,0,0,0,-1,0,0,0,0,0,,27,16:19
188,Alexey Marchenko\marchal01,23-302,D,2015-10-31,DET,@,OTT,W,0,0,0,-1,0,0,0,0,0,,28,18:09
189,Dylan Larkin\larkidy01,19-093,C,2015-10-31,DET,@,OTT,W,1,0,1,1,0,1,0,0,4,25.0,21,15:56
190,Niklas Kronwall\kronwni01,34-292,D,2015-10-31,DET,@,OTT,W,0,2,2,1,2,0,0,0,0,,29,20:01
191,Jakub Kindl\kindlja01,28-263,D,2015-10-31,DET,@,OTT,W,0,0,0,-2,0,0,0,0,2,0.0,27,18:00
192,Darren Helm\helmda01,28-283,C,2015-10-31,DET,@,OTT,W,0,1,1,0,0,0,0,0,1,0.0,16,12:23
193,Luke Glendening\glendlu01,26-186,C,2015-10-31,DET,@,OTT,W,0,1,1,0,0,0,0,0,1,0.0,28,18:41
