
,,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,,,,
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
601,Alexey Marchenko\marchal01,23-354,D,2015-12-22,DET,,NJD,L,0,0,0,-1,0,0,0,0,0,,22,12:47
602,Dylan Larkin\larkidy01,19-145,C,2015-12-22,DET,,NJD,L,1,0,1,1,0,0,1,0,4,25.0,25,16:48
603,Niklas Kronwall\kronwni01,34-344,D,2015-12-22,DET,,NJD,L,0,1,1,0,2,0,0,0,0,,29,24:27
604,Jakub Kindl\kindlja01,28-315,D,2015-12-22,DET,,NJD,L,0,0,0,0,0,0,0,0,0,,20,15:18
605,Tomas Jurco\jurcoto01,22-006,RW,2015-12-22,DET,,NJD,L,0,1,1,0,0,0,0,0,2,0.0,14,8:57
606,Darren Helm\helmda01,28-335,C,2015-12-22,DET,,NJD,L,0,0,0,0,0,0,0,0,1,0.0,21,15:29
607,Mike Green\greenmi03,30-071,D,2015-12-22,DET,,NJD,L,1,0,1,-1,0,0,1,0,2,50.0,25,23:04
608,Luke Glendening\glendlu01,26-238,C,2015-12-22,DET,,NJD,L,0,0,0,0,0,0,0,0,2,0.0,16,11:08
609,Danny DeKeyser\dekeyda01,25-290,D,2015-12-22,DET,,NJD,L,0,0,0,-1,2,0,0,0,2,0.0,27,20:05
610,Pavel Datsyuk\datsypa01,37-155,C,2015-12-22,DET,,NJD,L,0,1,1,-1,0,0,0,0,0,,23,19:48
611,Joakim Andersson\anderjo03,26-320,C,2015-12-22,DET,,NJD,L,0,0,0,-1,0,0,0,0,2,0.0,11,7:53
612,Justin Abdelkader\abdelju01,28-300,LW,2015-12-22,DET,,NJD,L,0,0,0,0,8,0,0,0,1,0.0,23,15:51
613,Henrik Zetterberg\zettehe01,35-078,LW,2015-12-26,DET,@,NSH,W,0,0,0,0,0,0,0,0,1,0.0,23,18:18
614,Tomas Tatar\tatarto01,25-025,C,2015-12-26,DET,@,NSH,W,0,1,1,-1,0,0,0,0,2,0.0,20,13:15
615,Brendan Smith\smithbr05,26-321,D,2015-12-26,DET,@,NSH,W,1,1,2,1,0,1,0,0,3,33.3,29,19:58
616,Riley Sheahan\sheahri01,24-019,C,2015-12-26,DET,@,NSH,W,1,0,1,-1,0,0,1,0,3,33.3,22,15:28
617,Brad Richards\richabr01,35-238,C,2015-12-26,DET,@,NSH,W,0,1,1,1,0,0,0,0,5,0.0,19,14:52
618,Gustav Nyquist\nyquigu01,26-116,RW,2015-12-26,DET,@,NSH,W,0,0,0,0,2,0,0,0,0,,23,16:58
619,Tomas Nosek\nosekto01,23-116,C,2015-12-26,DET,@,NSH,W,0,0,0,0,0,0,0,0,0,,12,7:26
620,Alexey Marchenko\marchal01,23-358,D,2015-12-26,DET,@,NSH,W,0,1,1,0,0,0,0,0,0,,20,13:40
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
621,Niklas Kronwall\kronwni01,34-348,D,2015-12-26,DET,@,NSH,W,0,0,0,-1,0,0,0,0,2,0.0,29,24:17
622,Jakub Kindl\kindlja01,28-319,D,2015-12-26,DET,@,NSH,W,0,0,0,0,0,0,0,0,0,,22,13:52
623,Tomas Jurco\jurcoto01,22-002,RW,2015-12-26,DET,@,NSH,W,0,0,0,-1,0,0,0,0,0,,18,12:00
624,Darren Helm\helmda01,28-339,C,2015-12-26,DET,@,NSH,W,0,1,1,1,0,0,0,0,4,0.0,24,17:23
625,Mike Green\greenmi03,30-075,D,2015-12-26,DET,@,NSH,W,0,0,0,0,0,0,0,0,1,0.0,29,19:50
626,Luke Glendening\glendlu01,26-242,C,2015-12-26,DET,@,NSH,W,1,0,1,1,2,1,0,0,1,100.0,21,13:35
627,Danny DeKeyser\dekeyda01,25-294,D,2015-12-26,DET,@,NSH,W,0,0,0,0,0,0,0,0,1,0.0,32,26:28
628,Pavel Datsyuk\datsypa01,37-159,C,2015-12-26,DET,@,NSH,W,0,1,1,0,0,0,0,0,0,,22,19:06
629,Joakim Andersson\anderjo03,26-324,C,2015-12-26,DET,@,NSH,W,0,0,0,0,0,0,0,0,0,,13,9:21
630,Justin Abdelkader\abdelju01,28-304,LW,2015-12-26,DET,@,NSH,W,0,0,0,0,0,0,0,0,0,,24,18:28
631,Henrik Zetterberg\zettehe01,35-080,LW,2015-12-28,DET,@,MIN,L,0,0,0,0,0,0,0,0,1,0.0,23,20:10
632,Tomas Tatar\tatarto01,25-027,C,2015-12-28,DET,@,MIN,L,0,0,0,0,0,0,0,0,1,0.0,17,14:51
633,Brendan Smith\smithbr05,26-323,D,2015-12-28,DET,@,MIN,L,0,1,1,0,0,0,0,0,1,0.0,26,16:49
634,Riley Sheahan\sheahri01,24-021,C,2015-12-28,DET,@,MIN,L,0,0,0,0,0,0,0,0,4,0.0,20,15:25
635,Brad Richards\richabr01,35-240,C,2015-12-28,DET,@,MIN,L,0,0,0,0,0,0,0,0,6,0.0,20,19:14
636,Gustav Nyquist\nyquigu01,26-118,RW,2015-12-28,DET,@,MIN,L,0,0,0,0,0,0,0,0,0,,18,14:39
637,Tomas Nosek\nosekto01,23-118,C,2015-12-28,DET,@,MIN,L,0,0,0,-1,0,0,0,0,0,,15,10:26
638,Alexey Marchenko\marchal01,23-360,D,2015-12-28,DET,@,MIN,L,0,0,0,-1,0,0,0,0,0,,21,16:16
639,Dylan Larkin\larkidy01,19-151,C,2015-12-28,DET,@,MIN,L,0,0,0,0,0,0,0,0,3,0.0,20,17:30
640,Niklas Kronwall\kronwni01,34-350,D,2015-12-28,DET,@,MIN,L,0,0,0,-1,0,0,0,0,2,0.0,27,24:07
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
641,Jakub Kindl\kindlja01,28-321,D,2015-12-28,DET,@,MIN,L,0,0,0,0,0,0,0,0,1,0.0,25,17:26
642,Tomas Jurco\jurcoto01,23-000,RW,2015-12-28,DET,@,MIN,L,0,0,0,-1,0,0,0,0,1,0.0,12,7:24
643,Darren Helm\helmda01,28-341,C,2015-12-28,DET,@,MIN,L,0,0,0,0,0,0,0,0,2,0.0,19,16:21
644,Mike Green\greenmi03,30-077,D,2015-12-28,DET,@,MIN,L,0,0,0,0,2,0,0,0,3,0.0,27,22:45
645,Danny DeKeyser\dekeyda01,25-296,D,2015-12-28,DET,@,MIN,L,0,0,0,0,0,0,0,0,1,0.0,24,18:56
646,Pavel Datsyuk\datsypa01,37-161,C,2015-12-28,DET,@,MIN,L,1,0,1,0,0,1,0,0,1,100.0,21,20:20
647,Joakim Andersson\anderjo03,26-326,C,2015-12-28,DET,@,MIN,L,0,0,0,-1,0,0,0,0,0,,12,7:29
648,Justin Abdelkader\abdelju01,28-306,LW,2015-12-28,DET,@,MIN,L,0,1,1,0,4,0,0,0,2,0.0,21,16:50
649,Henrik Zetterberg\zettehe01,35-081,LW,2015-12-29,DET,@,WPG,L,0,1,1,-1,0,0,0,0,5,0.0,20,16:59
650,Tomas Tatar\tatarto01,25-028,C,2015-12-29,DET,@,WPG,L,0,0,0,-2,0,0,0,0,2,0.0,21,16:02
651,Brendan Smith\smithbr05,26-324,D,2015-12-29,DET,@,WPG,L,0,0,0,-2,4,0,0,0,2,0.0,26,17:37
652,Riley Sheahan\sheahri01,24-022,C,2015-12-29,DET,@,WPG,L,0,0,0,-1,0,0,0,0,2,0.0,22,15:55
653,Brad Richards\richabr01,35-241,C,2015-12-29,DET,@,WPG,L,0,0,0,0,0,0,0,0,4,0.0,21,17:16
654,Gustav Nyquist\nyquigu01,26-119,RW,2015-12-29,DET,@,WPG,L,0,0,0,-2,0,0,0,0,1,0.0,22,13:31
655,Tomas Nosek\nosekto01,23-119,C,2015-12-29,DET,@,WPG,L,0,0,0,0,0,0,0,0,2,0.0,16,10:23
656,Alexey Marchenko\marchal01,23-361,D,2015-12-29,DET,@,WPG,L,0,0,0,0,0,0,0,0,1,0.0,17,16:56
657,Dylan Larkin\larkidy01,19-152,C,2015-12-29,DET,@,WPG,L,0,0,0,-1,0,0,0,0,1,0.0,22,18:45
658,Niklas Kronwall\kronwni01,34-351,D,2015-12-29,DET,@,WPG,L,0,1,1,-2,2,0,0,0,0,,27,18:06
659,Jakub Kindl\kindlja01,28-322,D,2015-12-29,DET,@,WPG,L,0,0,0,-2,0,0,0,0,1,0.0,25,20:55
660,Tomas Jurco\jurcoto01,23-001,RW,2015-12-29,DET,@,WPG,L,0,0,0,0,0,0,0,0,0,,14,10:42
